prompt,prompt_len,target
"In Home Village of Girl Who Died in U.S. Custody, Poverty Drives Migration.",19,0
Karzai Is Trying to Keep His Sway After Term Ends.,13,1
"Liking It or Not, States Prepare for Health Law.",13,1
"Texas Officer Who Killed Unarmed Man Made Mistakes, Police Experts Say.",15,0
Backlash by the Bay: Tech Riches Alter a City.,13,1
Body of Missing Boy Is Found in Desert About a Mile From Home.,15,0
U.S. Writer Held by Qaeda Affiliate in Syria Is Freed After Nearly 2 Years.,20,1
"Online, a Distant Conflict Soars to Topic No. 1.",15,1
Hong Kong Protests Are Leaderless but Orderly .,12,1
British Publicist Convicted of Indecent Assaults.,15,0
Shady Dealings Helped Qaddafi Build Fortune and Regime.,12,1
"A Benchmark of Progress, Electrical Grid Fails Iraqis.",12,1
Nuclear Conference in Korea Collides With U.S. Election.,14,0
A Region’s Wounds Fester on Russia’s South Border.,15,0
"On Way Out, China’s Leader Offers Praise for the Status Quo.",16,0
Pressure Rises on Hamas as Patrons’ Support Fades.,13,1
"Frank Robinson, Hall of Fame Slugger and First Black Manager, Dies at 83.",20,1
Move to Fight Obama’s Climate Plan Started Early.,12,1
"C.I.A. Arms for Syrian Rebels Supplied Black Market, Officials Say.",18,1
Global Research Awards Showcase China’s Gains and Efforts to Retain Scientists.,16,0
China Alarmed by Security Threat From Internet.,10,1
Hasty and Ruinous 1972 Pick Colors Today’s Hunt for a No. 2.,24,1
Exclusion of Blacks From Juries Raises Renewed Scrutiny.,12,1
"Cardinal George Pell Returns to Australia, Charged With Sexual Offenses.",14,0
A Pill Available in Mexico Is a Texas Option for Abortion.,13,1
"$2.5 Billion in Storm Losses, but Don’t Ask Georgia Farmers About Climate Change.",21,0
Kenya Mall Carnage Shows Shabab Resilience.,10,1
Fort McMurray Fire Begins to Ease as Weather Cools.,13,0
"In His Last Days, Qaddafi Wearied of Fugitive’s Life.",17,1
"As Public Opinion Shifts on Racism, Trump Digs In.",13,1
Italy Closes Consulate in Benghazi After New Attack.,11,0
Murdoch Case Shifts Its Focus to a Minister.,11,1
"Overseas, Romney Will Try to Hone Foreign Policy.",11,0
Jihadists Rout Kurds in North and Seize Strategic Iraqi Dam.,15,1
Trump’s Plan to Bar Muslims Is Widely Condemned Abroad.,14,1
"As Virus Infections Surge, Countries End Lockdowns.",11,0
Republican Senators Raise Possible Charges Against Author of Trump Dossier.,12,1
32 People Convicted for Roles in Gujarat Riots.,14,0
North Korea Rouses Neighbors to Reconsider Nuclear Weapons.,12,1
Power Surge for Donors as Terrain Is Reshaped on Campaign Money.,14,1
Top Mormons Could Meet Soon About Leaving Scouts.,10,0
"Scandals, Rivals and U.S. Tarnish Netanyahu’s Aura of Invincibility.",22,0
Behind Illicit Massage Parlors Lie a Vast Crime Network and Modern Indentured Servitude.,20,1
"They Cheered Trump in Minnesota, at the Last Big Rally Before His Virus Test.",18,0
Austrian Leader Calls for Snap Election After Far-Right Vice Chancellor Resigns.,17,1
Immigration Poses Threat of Another Republican Rift.,10,1
Christian School Teaches Scions of the Elite in Atheist North Korea.,16,0
Congolese Militia Is Accused of Atrocities.,11,0
"With Ukrainian Troops Trapped, a Cease-Fire Grows More Fragile.",17,0
"A Climate Deal, 6 Fateful Years in the Making .",14,1
Iraq Insurgents Kill at Least 100 After Declaring New Offensive.,18,0
"Hidden Under Tax-Exempt Cloak, Political Dollars Flow.",13,1
Wisconsin Leads Way as Workers Fight State Cuts.,10,1
Far Right in Eastern Europe Makes Gains as Syrians Arrive.,12,1
Mystery Over Detained American Angers Pakistan.,10,0
"Trump, the Insurgent, Breaks With 70 Years of American Foreign Policy.",18,1
U.S. Is Deferring Millions in Pakistani Military Aid.,15,1
Rise of Saudi Prince Shatters Decades of Royal Tradition.,13,1
Why Referendums Aren’t as Democratic as They Seem.,14,1
"One Execution Botched, Oklahoma Delays the Next.",11,1
2 American Service Members Foil Gunman in Train Attack.,12,1
Sunni Lawmakers to Boycott Iraqi Parliament Over Shiite Militias.,16,0
"U.S. Drops Bid
to Limit Sales
of Morning-After Pill.",20,1
Oxford Tradition Comes to This: ‘Death’ (Expound).,14,1
Iran Hints at Rift With Atomic Agency if U.S. Quits Nuclear Deal.,18,0
Patchwork Makeup of Rebels Fighting Ukraine Makes Peace Talks Elusive.,14,0
Jet Crash on Colombian Island Kills 1.,10,0
"In Brexit, Trump Finds a British Reflection of His Own Political Rise.",15,0
"Senator Jeff Flake, Facing Twin Threats, Is Said to Take On G.O.P. Rift in New Book.",26,0
"The Virus Surges in North Dakota, Filling Hospitals and Testing Attitudes.",15,1
"For Romneys, Friendly Code Reduces Taxes.",10,1
4 Die in Jerusalem Attack as Palestinian Rams Truck Into Soldiers.,13,0
"Dorothy Seiberling, Influential Arts Editor, Dies at 97.",17,0
Pakistani Ex-Spy Chief Faces Inquiry Over Book With Indian Counterpart.,16,0
Tech Firms Sign ‘Digital Geneva Accord’ Not to Aid Governments in Cyberwar.,17,1
"Court Orders House Arrest, and No Internet, for Fierce Critic of Putin.",17,0
"Kentucky Clerk Denies Same-Sex Marriage Licenses, Defying Court.",15,1
Honduran Villages Caught in Drug War’s Cross-Fire.,15,1
Investigation Turns to Kushner’s Motives in Meeting With a Putin Ally.,17,1
Trump Protesters Borrow From Tea Party to Put Pressure on Lawmakers.,15,1
Tough Legal Issues Converge in Colorado Shooting Case.,11,0
"Rebels Killed Dozens in Attack on Refugees, Ukraine Says.",14,0
European Candidates See Opportunity on Extreme Edge.,9,0
"Robert Fisk, Intrepid War Correspondent, Dies at 74.",16,0
Roma Abduction Case Prompts Birth Certificate Review in Greece.,13,0
Trump Reaches Beyond West Wing for Counsel.,10,1
Zimmerman Is Acquitted in Trayvon Martin Killing.,13,1
"A Path to ISIS, Through a Porous Turkish Border.",13,1
Jihadists’ Fierce Justice Drives Thousands to Flee Mali.,15,1
U.S. Backers of Israel Pressure Obama Over Policy on Iran.,16,1
"In Key States, Republicans Were Critical in Resisting Trump’s Election Narrative.",17,1
Mormons’ First Families Rally Behind Romney.,11,1
"In a U.S. Court, Iraqis Accuse Blackwater of Killings in 2007.",25,1
"In Restive Chinese Area, Cameras Keep Watch.",11,1
"A Dance for Tibetan New Year, Then 17 Hours in Custody.",16,0
The Jamal Khashoggi Case: Suspects Had Ties to Saudi Crown Prince.,17,1
"Detroit, Staggering With Debt, Now Struggles With a Rescue Plan.",16,0
U.S. Sanctions Turn Iran’s Oil Industry Into Spy vs. Spy.,18,1
"On Eve of Egyptian Vote, Crime Wave Is the Main Topic.",14,0
Putin Derides Sanctions and Trump Investigations as ‘Boorishness’.,14,0
Violence in Nicaragua Undermines Peace Talks 2 Months Into Uprising.,15,0
Navy Hearing in Rape Case Raises Alarm.,9,1
"With Trump’s Tough Deterrents, Many Asylum Seekers on the Border are Giving Up.",20,1
Boll Weevil: A Scourge That America and Mexico Fight Together.,16,0
Morocco Orders U.N. to Cut Staff in Disputed Western Sahara Territory.,17,0
Chechnya’s Persecuted Gays Find Refuge in Canada.,15,0
"House, and a Republican Party, Divided Against Itself.",12,1
Hearing Set for Monday to Hear Kavanaugh and His Accuser.,14,1
"On Visit to Rwanda, Sarkozy Admits ‘Grave Errors’ in 1994 Genocide.",21,0
Trump Says He’s ‘Standing’ With Xi (and With Hong Kong’s Protesters).,21,0
Taliban’s New Leader Strengthens His Hold With Intrigue and Battlefield Victory.,18,1
"Gunman in Dayton Had History of Threatening Women, Former Friends Say.",16,0
"My Long Trek Through Nepal, to Deliver a Stiff Drink.",13,0
"U.S. Tries to Bolster Taiwan’s Status, Short of Recognizing Sovereignty.",20,0
Life Sentence for Chinese Driver for Evading Tolls.,12,0
"Boeing Offers Details on Iran Deal, Saying All Was Done Legally.",15,0
A Name for Newborns Thanks to the Vampires.,12,0
Navy Orders New Training After Deadly Ship Collisions.,11,0
No. 2 Leader Unveils Plan to Overhaul British Politics.,15,0
"Via Legislative Side Doors, Bernie Sanders Won Modest Victories.",14,1
Britain to Impose Quarantine on Air Travelers to Fight Coronavirus.,13,0
Mixed Legacy for Departing Pakistani Army Chief.,10,1
Justin Trudeau Seeks to Legalize Assisted Suicide in Canada.,13,0
"Trump Sons Forge Ahead Without Father, Expanding and Navigating Conflicts.",14,1
"Saying Mali ‘Is Our Country,’ Militias Train to Oust Islamists.",17,1
"A Hole in North Korean Sanctions Big Enough for Coal, Oil and Used Pianos.",18,0
"Behind Trump Clemency, a Case Study in Special Access.",14,1
Iraqi Government and Kurds Reach Deal to Share Oil Revenues.,13,1
Saudi Elections Are First to Include Women as Voters and Candidates.,13,0
Trump Tells Sessions to ‘Stop This Rigged Witch Hunt Right Now’.,15,1
U.S. Puts Iran on Notice and Weighs Response to Attack on Oil Tankers.,20,1
Alabama Democrat Toes the G.O.P. Line.,14,1
Liverpool Declines Role in Government Overhaul by Britain.,12,0
Candidates in Mexico Signal a New Tack in the Drug War.,13,1
"A Ukraine Factory That Can’t Close, and Workers Who Won’t Quit.",18,0
Fight Against Sexual Assaults Holds Colleges to Account.,11,1
"Claudine Auger, James Bond’s First French Co-Star, Dies at 78.",21,0
A Gamble in Iran Talks: Easing of the Sanctions.,13,1
German Lawmakers Spar Over Child Care Subsidy.,11,0
Lawyer Opposing Health Law Is Familiar Face to the Justices.,13,1
"As Trump Vows Building Splurge, Famed Traffic Choke Point Offers Warning.",18,0
Supreme Court Ruling Allows Strip Searches for Any Arrest.,11,1
Sri Lanka Destroys Illegal Elephant Tusks.,11,0
Nurses Union Plans Ad Against Angle.,9,0
"For Wounded, Daunting Cost; for Aid Fund, Tough Decisions.",15,1
British Broadcaster With Murdoch Link Admits to Hacking.,12,1
Lack of Plan for ISIS Detainees Raises Human Rights Concerns.,14,1
"Despite Authoritarian Rule, Myanmar Art Grows.",10,0
Trump Attacks the Fed as Stocks Fall and the Midterms Loom.,14,1
Ryan’s Rise From Follower to G.O.P. Trailblazer.,17,1
Trump’s Impeachment Blockade Crumbles as Witnesses Agree to Talk.,17,1
"In Malaysia, the Old Prime Minister Promises a New Order.",13,1
"Lured by Jobs in Afghanistan, Nepalis Face Risks and Death.",15,0
"Amid Trade War, Farmers Lean on a New Crop: Hemp.",14,0
Cardinal George Pell’s Hometown Breaks Its Silence About Grim Past of Sexual Abuse.,18,0
Trump and Obama Hold Cordial 90-Minute Meeting in Oval Office.,17,1
"Women Line Up to Run for Office, Harnessing Their Outrage at Trump.",17,0
Obama’s Expected Keystone Pipeline Veto Is Likely to Be the First in a Wave.,19,1
"Italian Populist Party Leader Who Once Backed Berlusconi Quits, Ending an Era.",20,0
"Its Great Lake Shriveled, Iran Confronts Crisis of Water Supply.",17,1
Committee Votes to Release Democratic Rebuttal to G.O.P. Russia Memo.,19,1
Report Lists Perils for Envoys After U.S. Leaves Iraq.,17,0
Senate Women Lead in Effort to Find Accord.,10,1
"Netanyahu Privately Condoned U.S. Plan to Sell Arms to U.A.E., Officials Say.",26,1
Trump Administration Imposes New Sanctions on Putin Cronies.,12,0
Drone Pilots Are Found to Get Stress Disorders Much as Those in Combat Do.,16,0
White House and Egypt Discuss Plan for Mubarak’s Exit.,13,1
Drug Gang Suspected in Mexico Party Massacre.,10,0
"With Most States Under One Party’s Control, America Grows More Divided.",16,0
"‘Ethical Veganism’ Is a Philosophical Belief, British Court Rules.",15,0
"Sadiq Khan, New London Mayor, Bans Ads Promoting Unhealthy Body Image.",17,0
Inside the Trump Administration’s Fight to Add a Citizenship Question to the Census.,17,1
Syria Reports New Strikes From Israel Near Capital.,10,0
Justices Cast Doubt on Benefits Ban in U.S. Marriage Law.,16,1
Kuwait Gives 5-Year Term to Dissenter.,12,0
Trump Secures Trade Deal With South Korea Ahead of Nuclear Talks.,14,1
U.S. to Send Rockets to Iraq for ISIS Fight.,14,1
Newcomers Challenge Leadership in the House.,9,0
Pakistan Flood Sets Back Infrastructure by Years.,9,1
Vatican Refuses to Go Gluten Free at Communion.,12,0
Federal Law Officer Suspected in 3 Fatal Shootings in Washington Suburbs.,17,0
"Al Qaeda Attack Was Thwarted by Three Arrests, Germany Says.",15,0
"Berlusconi Is Found
Guilty of Tax Fraud.",12,0
Trump to Propose Sweeping Tax Cut for Corporations and Individuals.,14,1
Afghans Demand That U.S. Admit Military Errors.,13,1
Trump Allies Target Journalists Over Coverage Deemed Hostile to White House.,15,1
"Trump Is ‘Not Happy’ With Border Deal, but Doesn’t Say if He Will Sign It.",22,1
Laurie the Moose Lady Puts ‘Heart and Soul’ Into Roadkill.,15,0
Dispute Over Singapore Founder’s House Becomes a National Crisis.,14,0
U.S. Fears Hezbollah Operative Held in Iraq May Go Free.,16,0
"With New Hot Spots Emerging, No Sign of a Respite.",14,1
Iraq Report Prompts More Defensiveness Than Regret From Tony Blair.,15,0
"Ukraine Forces Storm a Town, Defying Russia.",11,1
"As Pheasants Disappear, Hunters in Iowa Follow.",12,0
"Rosanell Eaton, Fierce Voting Rights Advocate, Dies at 97.",18,1
Early Struggles of Soldier Charged in Leak Case.,11,1
How Democrats Missed Trump’s Appeal to Latino Voters.,12,1
Drone Pilots Are Found to Get Stress Disorders Much as Those in Combat Do.,16,0
"Jeff Sessions Is Serving, and Doing His Best to Ignore, Trump.",15,1
Court Grants Peru Ocean Territory Claimed by Chile.,11,0
"It May Be a Sputnik Moment, but Science Fairs Are Lagging.",16,1
Fear Keeps Thousands of South Sudanese on the Run.,11,0
"With Victories, ISIS Dispels Hope of a Swift Decline.",14,1
Budget Crisis Takes Toll on Community for California Farmworkers.,12,0
Israel to Step Up Pace of Construction in West Bank Areas.,13,0
Taliban Gun Down 10-Year-Old Militia Hero in Afghanistan.,17,1
"F.B.I. Used Informant to Investigate Russia Ties to Campaign, Not to Spy, as Trump Claims.",25,1
Ukraine’s Neglected and Battered Army Inspires Citizens to Pitch In.,17,0
U.K. Conservative Party Scolded for Rebranding Twitter Account.,16,0
"For Brazilian Official and Family, Controversy Over a Trip.",12,0
"After Years of War in Syria, U.N. Passes Resolution on Talks.",17,1
Trump Administration Officials at Odds Over C.I.A.’s Role in Afghanistan.,18,1
Northern Ireland Faces Crisis as Unionist First Minister Resigns.,13,0
‘This Is a War’: Cross-Border Fight Over Water Erupts in Mexico.,18,1
"‘Experienced’ Team Carried Out Bulgaria Bombing, Prime Minister Says.",15,0
Marines Hit the Ground Running in Seeking Recruits at Gay Center.,16,1
Chávez Heir Faces Challenge in Ties With Armed Forces.,13,0
"In Wider War in Afghanistan, Survival Rate of Wounded Rises.",13,1
U.S. Debated Cyberwarfare in Attack Plan on Libya.,16,1
"Bernie Sanders Wins Wisconsin Democratic Primary, Adding to Momentum.",12,1
Iranian President Is Sworn In and Presents a New Cabinet of Familiar Faces.,16,0
"Clashes Erupt for 2nd Day in Yemeni Capital, as Troops Fight Defectors.",21,0
Obama Urges Faster Shift of Power in Egypt.,11,1
Republicans Seize on Impeachment for Edge in 2018 Midterms.,19,1
Protests Rage On in Kenya After President Is Re-Elected.,15,0
"As Obama Vows to Act on Climate Change, Justices Weigh His Approach.",16,0
"Companies, Crews and Regulators Share Blame in Coast Guard Report on Oil Spill.",17,0
Dutch Opponent of Muslims Gains Ground.,9,0
U.S. Warns That Iran Could Use Fraud to Duck Sanctions.,16,0
"As Google Fills In Blank, a German Cries Foul.",14,0
Holder Signals Tough Review of New State Laws on Voting.,12,1
"For Grieving Parents, Trump Is ‘Speaking for the Dead’ on Immigration.",17,1
Reports of Raids Have Immigrants Bracing for Enforcement Surge.,13,0
Senate Braces for Health Showdown With McCain on Hand but a Plan Unclear.,17,1
Obama Claims Victory in Push for Insurance.,9,1
Chaos Grips Hong Kong’s Airport as Police Clash With Protesters.,16,1
"India Set to Stage an Epic Show, With Trump as the Star.",15,0
Ukraine Rebels Are Retreating for Last Stand.,10,1
Tamil Parties Make Strong Showing in Sri Lanka.,10,0
Biden and Clinton: Friends With Awkward Twist.,11,1
New U.S. Account Says Bin Laden Was Unarmed During Raid.,16,1
Greek Wealth Is Everywhere but Tax Forms.,9,1
Justice Dept. Takes Steps to Restore Watchdogs’ Access to Records.,15,0
"Egypt Army Sets 6-Month Blueprint, but Future Role Is Unclear.",17,1
"In Once-Tolerant Mosul, a Social Unraveling That Feels Permanent.",18,0
Kicking Up the Dust in an Arizona Desert Town.,12,0
"A Last Holdout on Divorce, Philippines Tiptoes Toward Legalization.",15,0
"Once Devoted to Suicide Bombing, She Now Embraces a Peaceful Jihad.",17,1
Republican Threatens to Block Pentagon and C.I.A. Nominees.,17,0
Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech.,16,0
"Ecuador Cuts Internet of Julian Assange, WikiLeaks’ Founder.",14,1
Republicans and Democrats Face Leadership Struggles as House Returns.,12,1
Saudi Writer Is Deported Over Posts on Prophet.,11,0
Postal Crisis Ripples Across Nation as Election Looms.,12,1
Death of a Mexican Drug Lord May Not Make People Feel Safer.,14,0
"Japan Extended Reactor’s Life, Despite Warning.",11,1
"As Power Flows to Regional Bosses, Questions Rise on India’s Economy.",17,0
Blasts Kill Dozens at Cafe and Restaurant North of Baghdad.,14,0
Throngs Enticed by ‘Game of Thrones’ Threaten a Magical City.,18,0
Workers Flee and Thieves Loot Venezuela’s Reeling Oil Giant.,15,1
